type,word,count,substituted_with
substitution,a,1,but
substitution,a,1,out
substitution,a,1,to
substitution,a,4,the
substitution,a,1,cash
substitution,a,1,cruisin
substitution,a,1,aint
substitution,a,1,on
substitution,a,2,for
substitution,a,1,by
substitution,a,2,im
substitution,a,1,parttime
substitution,a,1,really
substitution,a,1,of
substitution,a,1,love
substitution,a,1,gotta
substitution,a,1,you
substitution,a,1,know
substitution,a,1,diamonds
substitution,a,1,got
substitution,a,1,pay
substitution,a,2,it
substitution,a,2,this
substitution,a,1,hundred
substitution,a,1,da
substitution,a,1,i
substitution,a,1,show
substitution,a,1,pictures
substitution,a,1,tryna
substitution,a,1,bit
substitution,a,1,me
substitution,a,1,she
substitution,birkin,1,lining
substitution,birkin,1,lil
substitution,oh,1,your
substitution,oh,1,so
substitution,oh,1,fire
substitution,oh,1,roxanne
substitution,oh,1,with
substitution,oh,1,ima
substitution,baby,1,verses
substitution,baby,1,we
substitution,baby,1,woo
substitution,baby,1,nothing
substitution,baby,1,got
substitution,baby,1,love
substitution,baby,1,drop
substitution,baby,1,lets
substitution,baby,1,a
substitution,lyin,1,here
substitution,in,3,and
substitution,in,1,guarantee
substitution,in,1,do
substitution,in,1,low
substitution,in,2,year
substitution,in,1,cool
substitution,in,1,her
substitution,in,3,i
substitution,in,1,feel
substitution,in,1,had
substitution,in,1,at
substitution,in,2,on
substitution,in,1,yeah
substitution,in,1,come
substitution,in,1,so
substitution,in,1,base
substitution,in,1,the
substitution,in,1,six
substitution,in,1,tryna
substitution,in,2,it
substitution,in,1,got
substitution,in,1,no
substitution,in,1,we
substitution,in,1,dont
substitution,in,1,hospital
substitution,in,1,what
substitution,in,1,swervin
substitution,in,1,pussy
substitution,in,1,nigga
substitution,in,1,money
substitution,your,1,say
substitution,your,1,feels
substitution,your,1,to
substitution,your,1,a
substitution,your,1,door
substitution,your,1,do
substitution,your,1,im
substitution,your,1,i
substitution,your,1,them
substitution,your,1,you
substitution,your,1,brown
substitution,your,1,too
substitution,your,1,nigga
substitution,your,1,plate
substitution,verses,1,you
substitution,be,1,them
substitution,be,1,mouth
substitution,be,1,out
substitution,be,1,fastest
substitution,be,1,gotta
substitution,be,1,plans
substitution,be,1,gonna
substitution,be,1,youre
substitution,be,1,life
substitution,be,1,the
substitution,be,1,lone
substitution,be,1,bad
substitution,be,1,is
substitution,hearin,1,purses
substitution,hearin,1,and
substitution,say,1,i
substitution,say,1,done
substitution,say,1,em
substitution,say,2,yeah
substitution,say,1,in
substitution,say,1,wasting
substitution,say,1,down
substitution,say,1,dont
substitution,say,1,honey
substitution,buyin,1,even
substitution,em,1,lie
substitution,em,1,niggas
substitution,em,1,looks
substitution,em,2,the
substitution,em,1,got
substitution,em,1,work
substitution,em,1,many
substitution,em,1,off
substitution,em,1,in
substitution,purses,1,you
substitution,cant,1,my
substitution,cant,1,with
substitution,cant,1,it
substitution,cant,1,and
substitution,cant,1,can
substitution,even,1,type
substitution,even,1,in
substitution,even,1,me
substitution,even,1,to
substitution,even,1,them
substitution,even,1,now
substitution,my,1,even
substitution,my,1,every
substitution,my,1,not
substitution,my,1,of
substitution,my,2,got
substitution,my,1,slipping
substitution,my,1,phone
substitution,my,1,pm
substitution,my,1,soon
substitution,my,1,alive
substitution,my,1,dont
substitution,my,1,hope
substitution,my,1,bout
substitution,my,1,slat
substitution,my,1,any
substitution,my,1,in
substitution,my,3,you
substitution,my,1,yeah
substitution,my,1,that
substitution,my,1,a
substitution,my,1,half
substitution,my,1,more
substitution,my,1,wanna
substitution,my,1,dark
substitution,my,1,feeling
substitution,my,1,this
substitution,my,1,pencil
substitution,my,1,fly
substitution,my,1,it
substitution,my,1,hearin
substitution,my,1,flipped
substitution,my,1,stiff
substitution,type,1,know
substitution,aint,1,fine
substitution,aint,1,keep
substitution,aint,1,tried
substitution,aint,1,we
